time (ms), pulse signal 1, pulse signal 2
0.00,497,500
0.50,496,497
1.00,497,495
1.50,498,496
2.00,497,496
2.50,499,496
3.00,501,497
3.50,501,498
4.00,503,499
4.50,505,499
5.00,505,500
5.50,505,501
6.00,505,500
6.50,503,499
7.00,502,499
7.50,502,499
8.00,503,498
8.50,503,498
9.00,501,499
9.50,501,498
10.00,506,499
10.50,517,504
11.00,536,516
11.50,556,534
12.00,569,555
12.50,573,570
13.00,567,575
13.50,554,571
14.00,540,560
14.50,526,547
15.00,514,536
15.50,507,525
16.00,502,518
16.50,498,512
17.00,495,506
17.50,496,503
18.00,501,502
18.50,505,505
19.00,508,508
19.50,510,511
20.00,510,511
20.50,508,510
21.00,504,508
21.50,501,504
22.00,499,500
22.50,498,498
23.00,498,496
23.50,500,496
24.00,501,496
24.50,500,497
25.00,502,498
25.50,503,499
26.00,504,501
26.50,505,501
27.00,505,501
27.50,505,501
28.00,504,500
28.50,503,500
29.00,500,498
29.50,499,497
30.00,499,497
30.50,500,497
31.00,500,496
31.50,500,497
32.00,500,497
32.50,500,497
33.00,501,498
33.50,503,498
34.00,503,499
34.50,505,499
35.00,516,503
35.50,533,514
36.00,551,534
36.50,563,554
37.00,568,570
37.50,564,576
38.00,553,573
38.50,539,562
39.00,525,548
39.50,514,536
40.00,506,526
40.50,501,518
41.00,499,511
41.50,498,508
42.00,500,505
42.50,504,505
43.00,507,507
43.50,509,510
44.00,509,511
44.50,508,511
45.00,506,510
45.50,505,506
46.00,501,502
46.50,497,500
47.00,496,496
47.50,496,494
48.00,496,494
48.50,497,494
49.00,499,494
49.50,499,495
50.00,502,493
50.50,509,492
51.00,506,500
51.50,504,500
52.00,501,499
52.50,494,499
53.00,504,492
53.50,501,498
54.00,499,498
54.50,498,497
55.00,500,493
55.50,501,493
56.00,499,497
56.50,500,494
57.00,498,498
57.50,497,497
58.00,498,497
58.50,503,498
59.00,513,503
59.50,530,514
60.00,547,533
60.50,560,554
61.00,563,567
61.50,558,572
62.00,548,568
62.50,535,557
63.00,523,543
63.50,512,530
64.00,505,520
64.50,506,512
65.00,501,507
65.50,498,503
66.00,502,501
66.50,503,503
67.00,504,506
67.50,513,508
68.00,512,512
68.50,509,512
69.00,505,510
69.50,501,506
70.00,497,502
70.50,495,498
71.00,494,495
71.50,501,493
72.00,499,494
72.50,499,494
73.00,498,494
73.50,499,495
74.00,500,496
74.50,500,497
75.00,502,498
75.50,503,498
76.00,503,499
76.50,503,499
77.00,502,498
77.50,502,498
78.00,502,497
78.50,502,497
79.00,503,497
79.50,503,497
80.00,504,497
80.50,504,497
81.00,505,498
81.50,509,500
82.00,520,508
82.50,536,522
83.00,551,542
83.50,560,559
84.00,559,569
84.50,552,569
85.00,541,561
85.50,529,548
86.00,517,534
86.50,509,523
87.00,503,513
87.50,500,506
88.00,498,502
88.50,499,500
89.00,503,501
89.50,507,505
90.00,510,509
90.50,512,512
91.00,514,513
91.50,511,512
92.00,509,508
92.50,508,505
93.00,505,501
93.50,499,499
